timestamp,value1,value2,value3,value4
0.0,257.87826059697545,-257.48221069276383,0.0,0.0
0.1,244.9189782630853,-232.34236623634277,-0.010389816946950573,-0.0005283822484888921
0.2,231.96358077353293,-208.49828391075962,-0.019740164057295253,-0.00204331441773381
0.3,219.0148903179998,-185.949425156076,-0.028106024753445674,-0.0044435988856750585
0.4,206.07474944703742,-164.69501975242923,-0.035542354338131174,-0.007633535048436975
0.5,193.14420038125854,-144.73415465295955,-0.04210407211103342,-0.01152291608278133
0.6,180.2236447376521,-126.06584587066611,-0.04784605688893913,-0.01602702509638208
0.7,167.3129844419808,-108.68909533983141,-0.052823145251457454,-0.021066630971714517
0.8,154.4117448178701,-92.6029345868544,-0.05709013191370289,-0.026567984145521025
0.9,141.51918098601607,-77.8064569363186,-0.06070177170336955,-0.03246281250983374
1.0,128.63436878915815,-64.29883986119184,-0.06371278268989987,-0.03868831757177541
1.1,115.75628149566964,-52.0793589627342,-0.06617785007969529,-0.045187170967564055
1.2,102.88385354698421,-41.14739493715763,-0.06815163055116223,-0.0519075113904547
1.3,90.01603260607018,-31.502434763887965,-0.06968875675870331,-0.05880294196281539
1.4,77.1518211459365,-23.144068222104355,-0.07084384178433033,-0.0658325280574122
1.5,64.2903087996018,-16.071980720055585,-0.07167148335987489,-0.07296079555392113
1.6,51.43069666731833,-10.285943301582023,-0.07222626772215067,-0.08015772950013567
1.7,38.572314759170055,-5.785800575116708,-0.07256277299744918,-0.08739877313602674
1.8,25.714633737436543,-2.571457192697434,-0.07273557204094953,-0.09466482722935136
1.9,12.857272107277263,-0.6428633921595799,-0.07279923468078754,-0.10194224966596259
2.0,0.0,0.0,-0.07280832933586566,-0.1092228552332072
